,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
90,1453,432.25,40.2,15.591,11.0,4651.9,57.35,0.6
91,1454,454.34,40.28,13.896,11.5,4409.5,57.35,0.6
92,1455,465.84,40.31,17.964000000000006,12.2,4891.0,21.75,0.6
93,1456,462.76,39.95,17.964000000000006,12.2,5373.5,21.75,0.6
94,1457,409.77,40.7,17.116,13.1,5238.9,35.6,0.6
95,1458,308.58,41.45,15.93,11.6,5264.8,35.6,0.6
96,1459,305.63,39.75,17.964000000000006,12.8,5264.8,88.99,0.6
97,1460,266.77,38.58,17.964000000000006,11.3,5209.3,88.99,0.6
98,1461,309.45,40.28,17.567999999999998,11.5,5026.4,63.28,0.6
99,1462,143.67,40.28,11.581,8.8,3207.2,63.28,0.6
100,1463,250.38,40.7,12.71,9.9,4168.3,13.84,0.6
101,1464,319.75,40.48,17.964000000000006,11.5,4577.3,9.89,0.6
102,1465,343.5,40.09,17.964000000000006,12.3,4914.5,9.89,0.6
103,1466,341.61,40.67,17.964000000000006,12.5,4755.1,13.84,0.6
104,1467,293.81,38.91,17.964000000000006,10.9,4898.6,11.87,0.6
105,1468,303.23,38.38,17.964000000000006,11.6,5177.7,7.91,0.6
106,1469,315.92,39.11,17.964000000000006,11.0,4661.6,7.91,0.6
107,1470,347.29,39.78,17.964000000000006,11.7,5009.6,7.91,0.6
108,1471,349.97,38.94,17.964000000000006,12.8,5264.5,7.91,0.6
109,1472,348.84,40.53,17.964000000000006,12.8,4770.3,7.91,0.6
110,1473,111.08,40.87,12.145,11.8,3273.2,5.93,0.6
111,1474,118.6,41.2,17.964000000000006,11.6,3803.0,5.93,0.6
112,1475,120.6,41.43,17.964000000000006,11.5,3482.2,23.73,0.6
113,1476,130.32,42.79,17.964000000000006,11.8,3845.5,23.73,0.6
114,1477,130.87,41.57,11.354,11.6,3727.2,19.78,0.6
115,1478,203.65,42.01,17.964000000000006,12.7,4141.5,19.78,0.6
116,1479,202.99,39.28,17.964000000000006,11.2,5250.4,7.91,0.6
117,1480,246.67,41.34,17.964000000000006,12.4,5250.4,7.91,0.6
118,1481,179.5,39.67,17.964000000000006,11.1,5127.8,7.91,0.6
119,1482,209.44,41.12,17.964000000000006,11.8,5156.4,15.82,0.6
120,1483,151.95,41.76,17.964000000000006,10.3,4324.9,15.82,0.6
121,1484,185.84,39.47,17.964000000000006,11.8,5123.6,41.53,0.6
122,1485,187.32,40.7,17.964000000000006,11.9,4929.2,41.53,0.6
123,1486,171.13,40.42,17.964000000000006,11.4,5249.4,41.53,0.6
124,1487,172.79,40.92,17.964000000000006,11.7,4970.1,29.66,0.6
125,1488,137.1,41.2,11.863,11.9,2965.9,29.66,0.6
126,1489,156.98,40.92,12.654000000000002,11.5,3620.0,19.78,0.6
127,1490,203.22,40.92,17.964000000000006,11.2,5575.2,19.78,0.6
128,1491,228.86,40.23,17.342,11.2,5370.6,13.84,0.6
129,1492,266.57,40.39,17.512,11.4,5488.2,13.84,0.6
130,1493,317.17,41.06,17.964000000000006,12.7,5231.5,13.84,0.6
131,1494,368.75,39.11,17.964000000000006,11.6,5746.6,45.48,0.6
132,1495,368.5,38.64,17.964000000000006,11.6,5529.1,45.48,0.6
133,1496,328.83,41.68,15.535,11.1,4989.8,45.48,0.6
134,1497,228.5,40.67,17.964000000000006,10.2,4843.1,21.75,0.6
135,1498,101.57,40.42,8.304,9.0,3058.3,11.87,0.6
136,1499,215.22,40.62,10.564,9.2,3899.4,11.87,0.6
137,1500,284.37,40.76,13.614,11.1,4948.8,11.87,0.6
138,1501,324.22,40.25,16.608,11.3,5919.1,15.82,0.6
139,1502,324.9,40.39,17.964000000000006,12.8,5851.2,15.82,0.6
140,1503,277.39,41.43,17.964000000000006,11.4,5215.4,11.87,0.6
141,1504,283.31,41.43,17.23,11.2,5508.9,11.87,0.6
142,1505,396.08,39.61,17.964000000000006,11.7,5623.3,17.8,0.6
143,1506,431.18,38.97,17.964000000000006,11.8,5923.3,13.84,0.6
144,1507,427.86,38.66,16.608,12.0,5604.8,13.84,0.6
145,1508,396.88,40.23,14.574000000000002,12.0,5754.0,13.84,0.6
146,1509,380.77,40.34,17.567999999999998,11.7,6051.3,21.75,0.6
147,1510,375.1,40.62,17.173,12.7,5895.1,9.89,0.6
148,1519,312.75,40.56,15.139,11.6,6226.5,23.73,0.9
149,1520,295.49,40.34,14.123,11.3,5720.8,23.73,0.9
150,1521,296.82,40.65,14.574000000000002,12.3,5642.2,23.73,0.9
151,1522,289.47,40.62,14.405,12.3,5434.4,11.87,0.9
152,1523,250.01,40.23,14.236,10.0,4947.6,11.87,0.9
153,1524,407.82,39.7,17.964000000000006,16.4,6693.2,11.87,0.9
154,1525,429.49,40.06,17.342,13.0,6147.2,7.91,0.9
155,1526,388.29,41.04,13.84,12.6,5534.7,7.91,0.9
156,1527,294.83,40.7,13.219,11.2,5534.7,27.69,0.9
157,1528,333.93,40.59,16.552,11.8,5871.7,27.69,0.9
158,1529,343.67,40.76,14.461,11.8,5437.0,27.69,0.9
159,1530,329.84,40.25,14.630999999999998,11.2,5847.4,33.62,0.9
160,1531,347.24,41.06,13.953,11.9,5638.9,33.62,0.9
161,1532,381.06,40.31,17.512,11.6,5926.6,19.78,0.9
162,1533,398.71,40.23,17.342,13.1,5938.4,19.78,0.9
163,1534,412.35,39.81,16.495,12.5,5987.4,9.89,0.9
164,1535,422.55,40.51,17.567999999999998,13.0,6059.1,9.89,0.9
165,1536,420.86,40.31,17.964000000000006,11.5,5844.5,9.89,0.9
166,1537,376.39,40.23,17.964000000000006,11.6,5973.0,17.8,0.9
167,1541,287.07,40.53,13.275,11.4,5693.5,25.71,0.9
168,1542,286.26,40.98,14.857,12.0,5992.4,25.71,0.9
169,1543,296.56,40.48,14.857,11.7,5888.3,25.71,0.9
170,1544,295.93,40.42,14.236,12.4,5697.3,55.37,0.9
171,1545,285.86,40.73,14.236,12.4,5192.4,55.37,0.9
172,1546,196.61,40.67,14.8,12.9,5037.2,359.91,0.9
173,1547,185.74,40.51,15.704,11.6,5052.0,359.91,0.9
174,1548,177.35,41.18,12.597,12.2,4249.1,359.91,0.9
175,1549,128.89,42.18,15.535,11.9,3912.3,35.6,0.9
176,1550,152.91,40.81,19.997,10.4,4832.8,35.6,0.9
177,1551,288.11,40.37,19.997,11.4,5281.6,35.6,0.9
178,1552,290.34,40.06,19.997,11.3,5242.2,15.82,0.9
179,1557,424.1,40.45,13.275,11.8,5190.2,11.87,0.9
180,1558,33.27,40.51,5.875,6.7,2271.7,9.89,0.9
181,1559,162.95,40.31,9.264,9.1,3647.5,9.89,0.9
182,1560,254.35,40.28,14.179,10.7,4678.4,9.89,0.9
183,1561,299.68,40.28,13.388,11.3,4930.9,9.89,0.9
184,1562,307.12,40.48,15.083,11.5,5605.4,9.89,0.9
185,1563,322.19,40.31,14.518,11.6,5605.4,17.8,0.9
186,1564,329.63,40.23,15.026,11.8,6011.9,17.8,0.9
187,1565,327.71,40.25,13.896,11.8,5520.2,17.8,0.9
188,1566,369.85,40.51,18.246,11.9,5261.5,9.89,0.9
189,1567,455.83,40.23,19.997,17.1,6932.0,9.89,0.9
190,1568,455.51,40.53,16.608,13.5,5657.4,23.73,0.9
191,1569,394.86,40.45,15.817,12.3,5084.2,23.73,0.9
192,1570,404.14,41.06,15.987,12.9,5444.7,23.73,0.9
193,1571,321.15,40.84,17.851,12.1,5696.5,17.8,0.9
194,1572,272.99,39.92,19.997,11.5,5420.4,17.8,0.9
195,1573,298.81,40.0,18.472,10.5,4692.9,19.78,0.9
196,1574,355.92,41.04,18.472,11.5,4466.1,19.78,0.9
197,1575,440.76,40.7,14.8,13.9,5346.1,19.78,0.9
198,1576,480.75,40.56,15.761,13.9,5347.2,39.55,0.9
199,1577,472.78,40.62,13.275,11.7,4829.2,39.55,0.9
200,1578,452.15,41.09,19.997,12.8,5277.0,39.55,0.9
201,1579,446.57,40.62,19.997,11.9,5277.0,17.8,0.9
202,1580,214.52,40.09,11.354,10.1,3939.4,9.89,0.9
203,1581,289.67,40.23,14.913,10.1,4656.1,9.89,0.9
204,1582,392.7,40.34,18.077,12.7,5186.6,19.78,0.9
205,1583,412.89,40.56,19.997,12.7,5248.9,19.78,0.9
206,1584,369.63,38.55,19.997,11.7,4927.1,15.82,0.9
207,1585,276.55,41.65,19.997,11.9,4839.1,15.82,0.9
208,1586,280.92,40.81,19.997,10.9,4843.2,17.8,0.9
209,1587,234.56,40.59,10.168,8.8,3604.2,17.8,0.9
210,1588,313.88,40.92,12.654000000000002,10.6,4911.3,23.73,0.9
211,1589,330.68,41.68,19.997,12.0,4934.6,23.73,0.9
212,1590,299.54,41.06,19.997,11.6,4697.1,11.87,0.9
213,1591,3.53,39.92,5.084,5.2,773.7,11.87,0.9
214,1592,121.4,40.34,11.467,10.7,3342.2,11.87,0.9
215,1593,191.55,40.51,12.654000000000002,9.4,4283.8,13.84,0.9
216,1594,277.15,40.59,14.913,10.2,5505.5,13.84,0.9
217,1595,276.44,40.17,19.094,11.8,6104.2,13.84,0.9
218,1596,287.55,40.9,19.997,11.8,5719.5,9.89,0.9
219,1597,340.29,40.11,19.997,12.7,5975.9,25.71,0.9
220,1598,366.23,37.97,19.997,10.1,5136.4,29.66,0.9
221,1603,348.96,40.56,18.585,11.6,6147.1,7.91,0.9
222,1604,350.0,40.73,11.637,10.6,5936.7,263.01,0.9
223,1617,371.7,40.45,9.434,9.1,4411.9,39.55,0.9
224,1622,443.24,40.59,17.964000000000006,11.9,6001.8,13.84,0.9
225,1623,425.28,40.53,17.455,12.1,6305.6,13.84,0.9
226,1624,379.44,41.2,17.173,11.5,6322.0,13.84,0.9
227,1625,374.83,40.06,18.246,12.8,6084.1,13.84,0.9
228,1626,367.46,40.09,16.269000000000002,11.5,5306.6,7.91,0.9
229,1627,398.39,40.78,11.919,12.7,5306.6,7.91,0.9
230,1628,427.45,40.11,18.416,12.7,5766.3,7.91,0.9
231,1629,423.56,40.51,16.495,12.9,5873.9,13.84,0.9
232,1630,401.41,40.9,16.608,12.9,6194.4,13.84,0.9
233,1631,398.56,40.62,18.642,12.4,6408.2,5.93,0.9
234,1632,367.2,40.53,17.003,12.3,6142.2,5.93,0.9
235,1633,307.66,41.43,17.342,12.6,5398.3,23.73,0.9
236,1634,250.01,40.48,19.037,11.6,5158.5,23.73,0.9
237,1635,173.97,40.56,18.585,12.6,5795.5,23.73,0.9
238,1636,201.12,41.57,14.857,10.9,5511.3,19.78,0.9
239,1637,308.59,40.51,18.642,11.6,5740.5,19.78,0.9
240,1638,313.4,39.75,18.416,11.6,6039.9,19.78,0.9
241,1639,280.03,40.37,19.997,12.8,5516.8,19.78,0.9
242,1640,252.03,41.04,15.252,11.5,5532.6,11.87,0.9
243,1647,282.84,41.12,16.326,13.1,5752.7,17.8,0.9
244,1667,354.73,40.78,13.84,11.7,5716.9,39.55,0.9
245,1668,341.58,40.42,16.89,11.5,5697.4,39.55,0.9
246,1669,315.76,40.42,15.196,11.9,5489.0,19.78,0.9
247,1673,326.22,40.25,10.845999999999998,10.6,4559.9,23.73,0.9
248,1677,367.48,40.73,13.671,11.9,6060.7,1574.09,0.9
249,1678,270.2,41.59,10.677,11.5,5774.3,1574.09,0.9
250,1679,203.6,40.45,12.71,9.7,5246.3,19.78,0.9
251,1680,273.78,40.76,16.947,11.7,6086.5,15.82,0.9
252,1681,272.35,41.09,15.987,12.4,5619.4,11.87,0.9
253,1682,211.99,41.15,17.455,11.6,5837.0,11.87,0.9
254,1683,216.22,40.62,18.246,11.4,6158.6,11.87,0.9
255,1684,225.53,41.04,15.874,11.7,5161.8,11.87,0.9
256,1697,346.85,58.04,14.8,8.1,4449.8,67.24,0.9
257,1738,467.09,64.37,15.761,10.6,4972.2,5.93,1.1
258,1739,481.55,62.06,18.416,11.7,5503.4,5.93,1.1
259,1740,426.55,58.2,17.794,10.5,5278.8,11.87,1.1
260,1760,348.94,64.35,13.896,10.5,5439.7,9.89,1.1
261,1761,313.08,68.64,10.055,10.6,5439.7,9.89,1.1
262,1762,162.25,65.32,12.993,10.4,4380.2,15.82,1.1
263,1763,207.85,65.1,12.993,9.9,4547.6,15.82,1.1
264,1764,292.97,65.1,13.614,10.7,4834.1,9.89,1.1
265,1765,304.95,58.79,15.817,10.6,4922.5,9.89,1.1
266,1766,304.84,59.88,15.422,10.4,5145.9,7.91,1.1
267,1767,338.32,67.92,12.936,9.3,5266.4,7.91,1.1
268,1768,403.17,67.3,15.761,10.4,5039.6,5.93,1.1
269,1769,422.84,63.54,19.941,11.0,6124.5,5.93,1.1
270,1770,372.12,62.5,18.359,11.4,5692.8,19.78,1.1
271,1774,353.11,67.33,14.236,11.1,5091.8,13.84,1.1
272,1775,370.68,72.44,12.71,10.4,5091.8,13.84,1.1
273,1776,398.98,74.7,15.422,10.1,4795.2,13.84,1.1
274,1777,401.74,74.7,12.823,11.8,4654.3,11.87,1.1
275,1778,354.25,66.24,14.630999999999998,10.5,4302.1,11.87,1.1
276,1779,293.82,71.69,15.874,10.6,4774.7,11.87,1.1
277,1781,163.28,75.18,15.874,10.1,4690.7,15.82,1.1
278,1782,277.89,75.2,14.744000000000002,11.5,5533.9,15.82,1.1
279,1783,291.86,73.42,11.467,7.1,3923.9,9.89,1.1
280,1784,365.56,66.97,15.252,11.0,5461.9,9.89,1.1
281,1785,389.61,69.73,12.823,11.0,5460.6,9.89,1.1
282,1786,417.84,71.88,8.982000000000003,8.0,5287.6,11.87,1.1
283,1787,482.6,76.04,13.219,11.1,5130.8,11.87,1.1
284,1788,504.65,74.84,15.196,11.1,5425.2,9.89,1.1
285,1789,480.67,68.53,17.342,10.8,5458.3,9.89,1.1
286,1790,360.96,68.59,17.23,10.9,5458.3,19.78,1.1
287,1791,325.79,75.54,15.704,11.1,5453.4,19.78,1.1
288,1792,369.93,75.54,17.23,10.5,5801.4,21.75,1.1
289,1793,463.52,72.11,22.596,13.9,6742.3,21.75,1.1
290,1794,490.33,69.12,16.156,11.6,6332.1,21.75,1.1
291,1795,482.88,64.99,19.263,12.0,6551.1,17.8,1.1
292,1796,477.2,70.51,17.851,11.1,6551.1,19.78,1.1
293,1797,481.25,75.43,16.552,11.1,5692.3,11.87,1.1
294,1798,450.47,75.43,14.744000000000002,9.6,5144.2,21.75,1.1
295,1799,406.9,70.85,11.015,7.6,3716.9,19.78,1.1
296,1800,467.24,67.44,11.581,9.5,5461.2,13.84,1.1
297,1801,529.33,65.27,22.031,12.0,6475.8,13.84,1.1
298,1802,534.74,72.47,14.857,11.3,5732.1,21.75,1.1
299,1803,517.59,74.42,13.784,13.2,6095.2,13.84,1.1
300,1804,508.24,74.62,17.455,14.1,6698.7,13.84,1.1
301,1805,495.56,72.78,15.874,13.5,5731.0,25.71,1.1
302,1806,417.31,65.27,12.936,11.9,5562.7,25.71,1.1
303,1807,365.12,73.31,11.637,11.5,5250.0,11.87,1.1
304,1808,229.94,67.7,12.258,9.0,4298.2,11.87,1.1
305,1809,282.19,57.87,15.591,8.9,5149.1,11.87,1.1
306,1810,335.14,59.82,11.242,8.7,5137.9,11.87,1.1
307,1811,434.94,66.38,12.371,10.4,5421.1,11.87,1.1
308,1812,478.81,67.89,14.292,11.6,5361.9,9.89,1.1
309,1813,468.99,66.86,14.009,10.3,5468.2,9.89,1.1
310,1814,405.08,61.0,13.896,9.9,5384.8,9.89,1.1
311,1815,394.31,60.38,14.123,10.2,5516.9,9.89,1.1
312,1816,402.95,70.43,11.354,10.4,5658.0,9.89,1.1
313,1817,393.99,73.14,14.913,9.8,5658.0,9.89,1.1
314,1818,325.5,69.71,13.727,9.6,4877.1,9.89,1.1
315,1819,286.41,70.49,13.727,9.5,4930.0,39.55,1.1
316,1820,294.82,74.79,16.1,10.1,5281.1,39.55,1.1
317,1821,333.0,74.14,18.811,10.5,5986.3,39.55,1.1
318,1822,364.14,69.65,15.309,11.4,6045.8,15.82,1.1
319,1823,361.38,66.52,16.213,10.2,5501.6,23.73,1.1
320,1824,398.01,70.43,11.637,11.1,5708.4,23.73,1.1
321,1825,441.65,74.17,11.863,12.0,5712.5,37.57,1.1
322,1826,453.05,75.57,17.794,11.3,5980.3,37.57,1.1
323,1827,454.94,70.99,13.727,8.1,5980.3,65.26,1.1
324,1828,489.29,66.33,14.461,12.1,5135.4,65.26,1.1
325,1829,494.43,68.03,13.953,12.1,5568.8,65.26,1.1
326,1830,444.91,73.92,20.054,11.1,6311.0,13.84,1.1
327,1831,424.99,75.12,16.382,11.1,6840.3,15.82,1.1
328,1832,427.69,73.92,17.625,11.7,6840.3,37.57,1.1
329,1833,389.58,68.06,18.416,11.6,6584.9,23.73,1.1
330,1834,349.28,70.82,14.066,11.1,6523.4,21.75,1.1
331,1835,346.57,73.89,18.472,10.2,6070.9,9.89,1.1
332,1836,418.27,75.18,18.472,10.1,5606.6,11.87,1.1
333,1837,453.72,72.94,14.630999999999998,9.5,5430.7,13.84,1.1
334,1838,449.94,67.22,18.359,9.9,5752.3,15.82,1.1
335,1839,449.33,67.72,18.359,9.4,5801.5,19.78,1.1
336,1840,454.71,73.31,15.987,9.7,5930.6,21.75,1.1
337,1841,460.33,73.47,17.173,9.9,5848.9,21.75,1.1
338,1842,474.61,72.94,18.642,11.4,6047.2,49.44,1.1
339,1843,469.95,67.86,18.642,10.8,6463.8,49.44,1.1
340,1844,364.15,63.37,20.11,10.1,6188.6,23.73,1.1
341,1845,311.32,69.51,15.761,9.6,6188.6,23.73,1.1
342,1846,318.32,69.54,15.309,9.4,4954.1,15.82,1.1
343,1847,318.59,62.34,15.422,9.5,5400.5,15.82,1.1
344,1848,303.57,68.42,10.564,10.8,4775.1,13.84,1.1
345,1849,209.37,68.14,16.213,9.5,5214.4,13.84,1.1
346,1850,292.45,60.27,14.8,10.0,5920.0,9.89,1.1
347,1851,304.45,61.64,16.382,10.0,5868.7,7.91,1.1
348,1852,305.6,65.63,14.97,9.9,5241.8,7.91,1.1
349,1853,266.88,64.18,15.196,9.5,5387.6,7.91,1.1
350,1854,224.51,63.87,14.574000000000002,9.8,5247.4,63.28,1.1
351,1855,204.9,65.18,17.738,10.5,5508.6,63.28,1.1
352,1856,216.87,57.2,17.23,10.2,5801.0,63.28,1.1
