Hole Depth,True Vertical Depth,Rate Of Penetration,Rate Of Penetration,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Inclination,YYYY/MM/DD,HH:MM:SS
1.0,-999.25,0.07,0.07,0.31,0.000,50.5,-25056.9,15.9,2019/10/06,19:29:46
2.0,-999.25,41.35,41.35,0.00,0.000,42.0,-25078.0,15.9,2019/10/06,19:38:03
3.0,-999.25,154.19,154.19,0.00,0.000,41.9,-25086.7,15.9,2019/10/06,19:38:06
4.0,-999.25,265.17,265.17,0.00,0.000,41.8,-25081.8,15.9,2019/10/06,19:38:08
5.0,-999.25,369.83,369.83,0.00,0.000,41.8,-25073.5,15.9,2019/10/06,19:38:10
6.0,-999.25,490.12,490.12,0.00,0.000,41.7,-25071.3,15.9,2019/10/06,19:38:13
7.0,-999.25,610.32,610.32,0.00,0.000,41.8,-25071.8,15.9,2019/10/06,19:38:15
8.0,-999.25,717.88,717.88,0.00,0.000,41.7,-25063.6,15.9,2019/10/06,19:38:17
9.0,-999.25,969.14,969.14,0.00,0.000,41.6,-25070.2,15.9,2019/10/06,19:38:19
10.0,-999.25,1153.77,1153.77,0.00,0.000,41.7,-25091.6,15.9,2019/10/06,19:38:21
11.0,-999.25,1308.65,1308.65,0.00,0.000,41.7,-25108.5,15.9,2019/10/06,19:38:23
12.0,-999.25,1422.90,1422.90,0.00,0.000,41.7,-25119.0,15.9,2019/10/06,19:38:25
13.0,-999.25,1543.06,1543.06,0.00,0.000,41.7,-25101.9,15.9,2019/10/06,19:38:27
14.0,-999.25,1620.57,1620.57,0.00,0.000,41.7,-25094.8,15.9,2019/10/06,19:38:28
15.0,-999.25,1693.05,1693.05,0.00,0.000,41.6,-25095.9,15.9,2019/10/06,19:38:29
16.0,-999.25,1747.50,1747.50,0.00,0.000,41.5,-25114.3,15.9,2019/10/06,19:38:31
17.0,-999.25,1806.81,1806.81,0.00,0.000,41.6,-25097.3,15.9,2019/10/06,19:38:32
18.0,-999.25,1864.43,1864.43,0.00,0.000,41.6,-25109.6,15.9,2019/10/06,19:38:34
19.0,-999.25,1912.07,1912.07,0.00,0.000,41.5,-25120.8,15.9,2019/10/06,19:38:35
20.0,-999.25,1983.92,1983.92,0.00,0.000,41.6,-25118.8,15.9,2019/10/06,19:38:36
21.0,-999.25,2049.32,2049.32,0.00,0.000,41.6,-25118.8,15.9,2019/10/06,19:38:38
22.0,-999.25,2105.38,2105.38,0.00,0.000,41.6,-25135.0,15.9,2019/10/06,19:38:39
23.0,-999.25,2177.33,2177.33,0.00,0.000,41.7,-25136.5,15.9,2019/10/06,19:38:40
24.0,-999.25,2248.92,2248.92,0.00,0.000,41.6,-25138.8,15.9,2019/10/06,19:38:42
25.0,-999.25,2316.52,2316.52,0.00,0.000,41.7,-25136.0,15.9,2019/10/06,19:38:43
26.0,-999.25,2364.42,2364.42,0.00,0.000,41.6,-25122.7,15.9,2019/10/06,19:38:45
27.0,-999.25,2420.64,2420.64,0.00,0.000,41.6,-25109.5,15.9,2019/10/06,19:38:46
28.0,-999.25,2453.12,2453.12,0.00,0.000,41.6,-25116.8,15.9,2019/10/06,19:38:47
29.0,-999.25,2490.85,2490.85,0.00,0.000,41.6,-25141.4,15.9,2019/10/06,19:38:49
30.0,-999.25,2507.51,2507.51,0.00,0.000,41.6,-25152.9,15.9,2019/10/06,19:38:50
31.0,-999.25,2524.14,2524.14,0.00,0.000,41.7,-25161.2,15.9,2019/10/06,19:38:52
32.0,-999.25,2534.76,2534.76,0.00,0.000,41.8,-25162.2,15.9,2019/10/06,19:38:53
33.0,-999.25,2539.90,2539.90,0.00,0.000,41.8,-25164.6,15.9,2019/10/06,19:38:54
34.0,-999.25,2546.50,2546.50,0.00,0.000,41.7,-25159.8,15.9,2019/10/06,19:38:56
35.0,-999.25,2552.83,2552.83,0.00,0.000,41.6,-25162.2,15.9,2019/10/06,19:38:57
36.0,-999.25,2560.38,2560.38,0.00,0.000,41.6,-25167.4,15.9,2019/10/06,19:38:58
37.0,-999.25,63.07,63.07,0.00,0.000,41.6,-25159.6,15.9,2019/10/06,19:45:42
38.0,-999.25,192.26,192.26,0.00,0.000,41.7,-25171.1,15.9,2019/10/06,19:45:44
39.0,-999.25,314.44,314.44,0.00,0.000,41.6,-25169.1,15.9,2019/10/06,19:45:46
40.0,-999.25,433.79,433.79,0.00,0.000,41.5,-25152.8,15.9,2019/10/06,19:45:48
41.0,-999.25,543.69,543.69,0.00,0.000,41.5,-25159.4,15.9,2019/10/06,19:45:50
42.0,-999.25,668.68,668.68,0.00,0.000,41.5,-25169.1,15.9,2019/10/06,19:45:52
43.0,-999.25,1042.22,1042.22,0.00,0.000,41.8,-25167.2,15.9,2019/10/06,19:45:59
44.0,-999.25,1166.71,1166.71,0.00,0.000,41.6,-25172.3,15.9,2019/10/06,19:46:01
45.0,-999.25,1226.66,1226.66,0.00,0.000,41.6,-25175.6,15.9,2019/10/06,19:46:03
46.0,-999.25,72.53,72.53,0.25,1.186,42.1,-22161.1,15.9,2019/10/06,19:56:10
47.0,-999.25,187.76,187.76,0.28,1.130,42.1,-22165.0,15.9,2019/10/06,19:56:14
48.0,-999.25,315.43,315.43,0.11,0.678,41.9,-22189.6,15.9,2019/10/06,19:56:18
49.0,-999.25,409.55,409.55,0.14,0.734,42.0,-22210.3,15.9,2019/10/06,19:56:21
50.0,-999.25,567.66,567.66,0.28,1.412,42.1,-22214.2,15.9,2019/10/06,19:56:24
51.0,-999.25,718.76,718.76,0.17,0.791,42.1,-22208.6,15.9,2019/10/06,19:56:27
52.0,-999.25,856.53,856.53,0.36,1.695,41.9,-22209.5,15.9,2019/10/06,19:56:30
53.0,-999.25,991.74,991.74,0.20,1.017,42.1,-22181.5,15.9,2019/10/06,19:56:32
54.0,-999.25,1106.63,1106.63,0.11,0.621,42.1,-22415.9,15.9,2019/10/06,19:56:35
55.0,-999.25,1189.29,1189.29,0.25,1.469,42.1,-22189.6,15.9,2019/10/06,19:56:38
56.0,-999.25,1233.49,1233.49,0.17,1.243,42.1,-22178.6,15.9,2019/10/06,19:56:41
57.0,-999.25,1262.87,1262.87,0.28,1.412,42.0,-22206.8,15.9,2019/10/06,19:56:44
58.0,-999.25,1271.11,1271.11,0.06,0.395,42.0,-22282.8,15.9,2019/10/06,19:56:47
59.0,-999.25,1270.58,1270.58,0.22,1.073,42.0,-22170.7,15.9,2019/10/06,19:56:50
60.0,-999.25,1251.44,1251.44,0.14,0.960,42.1,-22189.2,15.9,2019/10/06,19:56:53
61.0,-999.25,1231.50,1231.50,0.17,0.734,42.1,-22196.5,15.9,2019/10/06,19:56:56
62.0,-999.25,1218.57,1218.57,0.14,0.734,42.1,-22196.0,15.9,2019/10/06,19:56:59
63.0,-999.25,1205.08,1205.08,0.20,0.847,42.1,-22192.5,15.9,2019/10/06,19:57:03
64.0,-999.25,1177.42,1177.42,0.17,1.017,42.2,-22179.7,15.9,2019/10/06,19:57:08
65.0,-999.25,1137.88,1137.88,0.06,0.395,42.3,-22179.7,15.9,2019/10/06,19:57:12
66.0,-999.25,17.63,17.63,31.21,3.389,43.0,-43.8,15.9,2019/10/06,19:58:16
67.0,-999.25,85.45,85.45,30.23,0.734,-2.3,356.7,15.9,2019/10/06,20:21:17
68.0,-999.25,216.66,216.66,30.46,1.977,-2.2,377.1,15.9,2019/10/06,20:21:20
69.0,-999.25,334.64,334.64,30.20,0.960,-2.1,224.6,15.9,2019/10/06,20:21:23
70.0,-999.25,445.88,445.88,30.43,1.017,-2.0,525.7,15.9,2019/10/06,20:21:26
71.0,-999.25,575.25,575.25,30.18,1.299,-2.0,513.0,15.9,2019/10/06,20:21:30
72.0,-999.25,705.00,705.00,30.04,1.751,-1.9,222.7,15.9,2019/10/06,20:21:31
73.0,-999.25,814.31,814.31,30.12,1.751,-1.9,209.2,15.9,2019/10/06,20:21:33
74.0,-999.25,944.96,944.96,30.04,1.695,-2.0,304.2,15.9,2019/10/06,20:21:34
75.0,-999.25,1040.77,1040.77,30.20,1.695,-2.0,304.2,15.9,2019/10/06,20:21:36
76.0,-999.25,1224.76,1224.76,30.34,0.960,-2.0,106.0,15.9,2019/10/06,20:21:38
77.0,-999.25,1373.03,1373.03,30.01,1.525,-2.1,17.9,15.9,2019/10/06,20:21:40
78.0,-999.25,1495.77,1495.77,29.90,1.073,-2.0,8.8,15.9,2019/10/06,20:21:42
79.0,-999.25,1609.42,1609.42,30.12,0.678,-2.0,-20.1,15.9,2019/10/06,20:21:44
80.0,-999.25,1716.39,1716.39,30.07,0.791,-1.9,4.3,15.9,2019/10/06,20:21:46
81.0,-999.25,1783.01,1783.01,29.73,2.090,-1.9,14.7,15.9,2019/10/06,20:21:48
82.0,-999.25,1813.64,1813.64,30.04,0.678,-2.0,65.6,15.9,2019/10/06,20:21:50
83.0,-999.25,1819.50,1819.50,30.20,1.864,-1.9,115.2,15.9,2019/10/06,20:21:52
84.0,-999.25,1823.70,1823.70,30.07,2.034,-1.9,102.5,15.9,2019/10/06,20:21:55
85.0,-999.25,1822.93,1822.93,30.20,1.017,-1.9,64.6,15.9,2019/10/06,20:21:57
86.0,-999.25,1815.49,1815.49,30.07,1.299,-1.7,54.6,15.9,2019/10/06,20:21:58
87.0,-999.25,1801.43,1801.43,30.51,1.525,-1.7,65.5,15.9,2019/10/06,20:22:01
88.0,-999.25,1775.13,1775.13,30.23,1.582,-1.8,87.1,15.9,2019/10/06,20:22:03
89.0,-999.25,1757.19,1757.19,30.09,1.695,-1.8,198.6,15.9,2019/10/06,20:22:05
90.0,-999.25,1757.91,1757.91,30.15,0.847,-1.8,190.8,15.9,2019/10/06,20:22:07
91.0,-999.25,1761.83,1761.83,30.57,1.525,-1.9,245.6,15.9,2019/10/06,20:22:09
92.0,-999.25,1762.68,1762.68,30.18,1.130,-1.8,277.2,15.9,2019/10/06,20:22:11
93.0,-999.25,1762.09,1762.09,30.71,2.429,-1.7,404.0,15.9,2019/10/06,20:22:37
94.0,-999.25,149.32,149.32,30.51,2.486,-1.8,45.6,15.9,2019/10/06,20:23:02
95.0,-999.25,149.55,149.55,30.57,2.260,-1.8,3.0,15.9,2019/10/06,20:23:26
96.0,-999.25,149.57,149.57,30.51,2.712,-1.9,-45.8,15.9,2019/10/06,20:23:50
97.0,-999.25,149.39,149.39,30.40,3.502,-1.8,-55.9,15.9,2019/10/06,20:24:14
98.0,-999.25,149.60,149.60,30.54,6.892,0.9,337.9,15.9,2019/10/06,20:24:42
99.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
100.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
101.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
102.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
103.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
104.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
105.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
106.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
107.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
108.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
109.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
110.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
111.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
112.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
113.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
114.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
115.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
116.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
117.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
118.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
119.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
120.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
121.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
122.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
123.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
124.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
125.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
126.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
127.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
128.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
129.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
130.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
131.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
132.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
133.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
134.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
135.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
136.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
137.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
138.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
139.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
140.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
141.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
142.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
143.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,20:24:42
144.0,-999.25,127.11,127.11,30.90,8.530,1.6,696.6,15.9,2019/10/06,20:25:22
145.0,-999.25,143.97,143.97,30.54,6.214,0.5,522.5,15.9,2019/10/06,20:25:45
146.0,-999.25,159.75,159.75,30.85,8.473,0.7,597.9,15.9,2019/10/06,20:26:18
147.0,-999.25,114.03,114.03,30.87,8.191,0.8,662.3,15.9,2019/10/06,20:27:00
148.0,-999.25,77.85,77.85,30.46,4.237,0.9,484.4,15.9,2019/10/06,20:43:15
149.0,-999.25,191.92,191.92,30.43,5.197,2.3,796.1,15.9,2019/10/06,20:43:27
150.0,-999.25,287.38,287.38,30.15,5.593,2.2,838.1,15.9,2019/10/06,20:43:39
151.0,-999.25,300.13,300.13,30.40,4.406,2.4,811.5,15.9,2019/10/06,20:43:51
152.0,-999.25,300.24,300.24,30.46,4.915,2.4,818.2,15.9,2019/10/06,20:44:03
153.0,-999.25,308.98,308.98,30.34,5.988,3.0,1033.7,15.9,2019/10/06,20:44:13
154.0,-999.25,349.81,349.81,30.57,7.457,3.0,1025.5,15.9,2019/10/06,20:44:22
155.0,-999.25,392.19,392.19,30.26,3.841,3.7,867.4,15.9,2019/10/06,20:44:31
156.0,-999.25,399.10,399.10,30.57,3.728,2.6,812.6,15.9,2019/10/06,20:44:40
157.0,-999.25,399.35,399.35,30.46,4.237,2.4,846.3,15.9,2019/10/06,20:44:49
158.0,-999.25,399.97,399.97,30.20,4.293,2.3,813.9,15.9,2019/10/06,20:44:58
159.0,-999.25,403.16,403.16,30.37,5.593,2.7,913.4,15.9,2019/10/06,20:45:06
160.0,-999.25,421.09,421.09,30.32,5.423,2.7,963.5,15.9,2019/10/06,20:45:14
161.0,-999.25,442.17,442.17,30.20,4.576,2.7,910.3,15.9,2019/10/06,20:45:22
162.0,-999.25,449.55,449.55,30.46,4.519,2.7,999.4,15.9,2019/10/06,20:45:30
163.0,-999.25,450.12,450.12,30.29,4.971,3.1,1054.5,15.9,2019/10/06,20:45:38
164.0,-999.25,454.75,454.75,30.54,6.779,3.2,1104.9,15.9,2019/10/06,20:45:46
165.0,-999.25,467.56,467.56,30.68,6.779,3.3,1100.1,15.9,2019/10/06,20:45:53
166.0,-999.25,477.00,477.00,30.79,7.118,3.2,1123.8,15.9,2019/10/06,20:46:01
167.0,-999.25,479.37,479.37,30.32,7.231,3.2,1107.5,15.9,2019/10/06,20:46:08
168.0,-999.25,479.45,479.45,30.65,7.513,2.9,1030.9,15.9,2019/10/06,20:46:16
169.0,-999.25,479.40,479.40,30.40,7.005,2.8,1008.8,15.9,2019/10/06,20:46:23
170.0,-999.25,479.37,479.37,30.82,7.683,3.1,1057.4,15.9,2019/10/06,20:46:31
171.0,-999.25,479.77,479.77,30.65,8.586,3.6,1140.9,15.9,2019/10/06,20:46:38
172.0,-999.25,484.45,484.45,30.87,7.909,3.6,1183.1,15.9,2019/10/06,20:46:45
173.0,-999.25,493.20,493.20,30.62,6.327,3.2,1050.8,15.9,2019/10/06,20:46:53
174.0,-999.25,498.86,498.86,30.62,7.174,3.0,1079.5,15.9,2019/10/06,20:47:00
175.0,-999.25,500.01,500.01,30.60,7.626,2.7,910.3,15.9,2019/10/06,20:47:07
176.0,-999.25,500.09,500.09,30.37,7.852,2.5,927.0,15.9,2019/10/06,20:47:14
177.0,-999.25,500.07,500.07,31.04,6.892,3.3,1042.6,15.9,2019/10/06,20:47:21
178.0,-999.25,501.53,501.53,30.51,7.965,3.4,1133.7,15.9,2019/10/06,20:47:28
179.0,-999.25,505.70,505.70,30.43,6.214,4.0,1160.6,15.9,2019/10/06,20:47:35
180.0,-999.25,507.91,507.91,30.60,6.892,4.1,1198.1,15.9,2019/10/06,20:47:42
181.0,-999.25,508.17,508.17,30.71,8.191,4.3,1256.1,15.9,2019/10/06,20:47:50
182.0,-999.25,506.41,506.41,30.79,6.722,2.7,854.4,15.9,2019/10/06,20:47:57
183.0,-999.25,507.58,507.58,30.51,6.666,2.2,852.2,15.9,2019/10/06,20:48:04
184.0,-999.25,510.29,510.29,30.60,5.649,2.3,797.8,15.9,2019/10/06,20:48:11
185.0,-999.25,511.09,511.09,30.54,6.157,2.3,913.0,15.9,2019/10/06,20:48:18
186.0,-999.25,511.00,511.00,30.40,6.722,2.7,1016.9,15.9,2019/10/06,20:48:25
187.0,-999.25,510.69,510.69,30.34,5.762,2.8,1046.7,15.9,2019/10/06,20:48:32
188.0,-999.25,510.87,510.87,30.48,4.971,2.5,946.7,15.9,2019/10/06,20:48:39
189.0,-999.25,510.93,510.93,30.51,10.451,9.6,1588.0,15.9,2019/10/06,20:49:42
190.0,-999.25,54.10,54.10,30.60,4.745,4.1,665.9,15.9,2019/10/06,20:50:13
191.0,-999.25,177.08,177.08,30.57,6.835,2.6,870.1,15.9,2019/10/06,20:50:20
192.0,-999.25,357.25,357.25,30.71,7.626,2.8,953.6,15.9,2019/10/06,20:50:28
193.0,-999.25,469.37,469.37,30.57,7.739,2.9,1014.1,15.9,2019/10/06,20:50:35
194.0,-999.25,507.46,507.46,30.74,6.496,2.6,868.0,15.9,2019/10/06,20:50:42
195.0,-999.25,510.52,510.52,30.76,7.231,4.7,1118.9,15.9,2019/10/06,20:50:49
196.0,-999.25,509.27,509.27,30.23,5.310,2.8,1140.1,15.9,2019/10/06,20:50:56
197.0,-999.25,503.48,503.48,30.54,7.174,3.2,1011.6,15.9,2019/10/06,20:51:03
198.0,-999.25,504.50,504.50,30.46,5.141,2.4,869.5,15.9,2019/10/06,20:51:10
199.0,-999.25,510.13,510.13,31.07,6.779,2.1,828.3,15.9,2019/10/06,20:51:17
200.0,-999.25,510.77,510.77,30.65,6.496,2.3,779.8,15.9,2019/10/06,20:51:24
201.0,-999.25,511.10,511.10,30.85,7.626,2.3,906.0,15.9,2019/10/06,20:51:32
202.0,-999.25,511.20,511.20,30.76,6.270,2.4,1001.1,15.9,2019/10/06,20:51:39
203.0,-999.25,511.04,511.04,30.74,5.931,2.1,819.9,15.9,2019/10/06,20:51:46
204.0,-999.25,510.91,510.91,30.74,5.818,2.6,912.2,15.9,2019/10/06,20:51:53
205.0,-999.25,510.48,510.48,30.40,5.705,3.0,985.7,15.9,2019/10/06,20:52:00
206.0,-999.25,510.48,510.48,30.65,6.157,3.0,903.5,15.9,2019/10/06,20:52:07
207.0,-999.25,511.07,511.07,30.79,8.022,2.6,901.4,15.9,2019/10/06,20:52:14
208.0,-999.25,513.24,513.24,31.01,8.812,2.3,832.0,15.9,2019/10/06,20:52:21
209.0,-999.25,520.96,520.96,30.74,7.852,3.0,831.8,15.9,2019/10/06,20:52:27
210.0,-999.25,532.12,532.12,30.51,6.892,2.9,1037.4,15.9,2019/10/06,20:52:34
211.0,-999.25,538.47,538.47,30.23,8.191,2.5,884.9,15.9,2019/10/06,20:52:41
212.0,-999.25,540.02,540.02,30.76,7.005,3.0,993.8,15.9,2019/10/06,20:52:47
213.0,-999.25,541.75,541.75,30.32,6.948,3.0,1026.0,15.9,2019/10/06,20:52:54
214.0,-999.25,549.23,549.23,30.46,5.254,2.8,1001.3,15.9,2019/10/06,20:53:00
215.0,-999.25,559.69,559.69,30.62,7.570,3.0,1011.0,15.9,2019/10/06,20:53:06
216.0,-999.25,567.07,567.07,30.40,7.344,3.1,1155.4,15.9,2019/10/06,20:53:13
217.0,-999.25,569.31,569.31,30.71,9.095,3.0,1051.6,15.9,2019/10/06,20:53:19
218.0,-999.25,569.48,569.48,30.68,8.530,3.0,954.8,15.9,2019/10/06,20:53:25
219.0,-999.25,569.84,569.84,30.96,9.038,2.9,1066.9,15.9,2019/10/06,20:53:31
220.0,-999.25,570.04,570.04,31.04,7.965,2.4,965.6,15.9,2019/10/06,20:53:38
221.0,-999.25,569.47,569.47,30.43,7.344,2.6,905.4,15.9,2019/10/06,20:53:44
222.0,-999.25,569.43,569.43,30.65,6.270,2.7,809.7,15.9,2019/10/06,20:53:50
223.0,-999.25,569.87,569.87,30.79,7.231,2.5,843.1,15.9,2019/10/06,20:53:57
224.0,-999.25,570.45,570.45,30.90,6.779,2.4,810.8,15.9,2019/10/06,20:54:03
225.0,-999.25,570.12,570.12,30.96,6.440,3.0,988.0,15.9,2019/10/06,20:54:09
226.0,-999.25,570.18,570.18,30.79,7.287,2.9,988.0,15.9,2019/10/06,20:54:16
227.0,-999.25,570.43,570.43,30.40,6.440,3.4,1011.8,15.9,2019/10/06,20:54:22
228.0,-999.25,570.39,570.39,30.62,7.965,3.0,1028.8,15.9,2019/10/06,20:54:28
229.0,-999.25,570.09,570.09,30.43,8.869,2.8,1034.8,15.9,2019/10/06,20:54:35
230.0,-999.25,569.40,569.40,31.10,8.812,3.1,1054.8,15.9,2019/10/06,20:54:41
231.0,-999.25,566.06,566.06,30.85,8.078,2.9,1027.1,15.9,2019/10/06,20:54:48
232.0,-999.25,564.21,564.21,30.62,8.022,2.8,952.3,15.9,2019/10/06,20:54:54
233.0,-999.25,567.52,567.52,30.48,7.570,2.6,948.0,15.9,2019/10/06,20:55:00
234.0,-999.25,570.29,570.29,30.74,7.457,2.8,967.3,15.9,2019/10/06,20:55:07
235.0,-999.25,570.52,570.52,30.43,5.818,3.2,1026.1,15.9,2019/10/06,20:55:13
236.0,-999.25,570.34,570.34,30.68,8.078,3.5,1144.8,15.9,2019/10/06,20:55:19
237.0,-999.25,569.75,569.75,30.82,8.756,4.6,1401.8,15.9,2019/10/06,20:55:28
238.0,-999.25,538.93,538.93,30.85,9.999,4.9,1505.8,15.9,2019/10/06,20:55:39
239.0,-999.25,95.93,95.93,30.74,4.915,-0.5,859.0,15.9,2019/10/06,21:01:44
240.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
241.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
242.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
243.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
244.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
245.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
246.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
247.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
248.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
249.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
250.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
251.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
252.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
253.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
254.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
255.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
256.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
257.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
258.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
259.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
260.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
261.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
262.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2019/10/06,21:01:44
